호선명,역이름,관광지명,관광지 주소
6호선,월드컵경기장(성산)역,마포농수산물시장,서울특별시 마포구 월드컵로 235
6호선,공덕,마포전골목,서울특별시 마포구 만리재로 19
1호선,관악,만안교,경기도 안양시 만안구 석수동
6호선,망원,망리단길,서울특별시 마포구 망원동 403-7
6호선,망원,망원 한강공원,서울특별시 마포구 마포나루길 467 한강공원망원지구사무소
6호선,망원,망원시장,서울특별시 마포구 포은로8길 14
6호선,망원,망원정터,서울특별시 마포구 동교로8안길 23
1호선,망월사,망월사(경기),경기도 의정부시 망월로28번길 211-500 (호원동)
6호선,월드컵경기장(성산)역,매봉산,서울특별시 마포구 상암동
2호선,을지로입구,명동 패션의 거리,서울특별시 중구 명동2가
4호선,명동,명동성당,서울특별시 중구 명동길 74
9호선,등촌,목동깨비시장,서울특별시 양천구 목동중앙북로6길 5
9호선,등촌,목동도깨비시장,서울특별시 양천구 목동중앙북로6길 5
5호선,오목교,목동운동장,서울특별시 양천구 안양천로 939
1호선,동두천중앙,목행선선생묘역,경기도 동두천시 지행동
1호선,보산,못골생태공원,경기도 동두천시 생연동
5호선,올림픽공원(한국체대)역,몽촌토성,서울특별시 송파구 올림픽로 424 올림픽공원
8호선,몽촌토성,몽촌토성,서울특별시 송파구 올림픽로 424 올림픽공원
9호선,한성백제,몽촌토성,서울특별시 송파구 올림픽로 424 올림픽공원
1호선,동묘앞,묘각사 템플스테이,서울특별시 종로구 종로63가길 31
6호선,동묘앞,묘각사 템플스테이,서울특별시 종로구 종로63가길 31
7호선,까치울,무릉도원수목원,경기도 부천시 길주로 660
1호선,종로3가,무산자동맹회회관터,서울특별시 종로구 관수동
5호선,종로3가,무산자동맹회회관터,서울특별시 종로구 관수동
1호선,의정부,무한상상시민정원,경기도 의정부시 시민로 100
1호선,신도림,문래창작촌,서울특별시 영등포구 도림로128가길 13-8
2호선,문래,문래창작촌,서울특별시 영등포구 도림로128가길 13-8
4호선,혜화,문예회관,서울특별시 종로구 대학로8길 7
8호선,문정,문정동 로데오 거리,서울특별시 송파구 동남로4길 10
1호선,서울역,문화역서울 284,서울특별시 중구 통일로 1 서울역
4호선,서울역,문화역서울 284,서울특별시 중구 통일로 1 서울역
1호선,송탄,물놀이세상,경기도 평택시 서정북로 130 1층
1호선,오산대,물향기수목원,경기도 오산시 청학로 211
1호선,봉명,미나릿길벽화마을,충청남도 천안시 동남구 원성천1길 17 중앙동주민센터
1호선,남영,민주인권기념관,서울특별시 용산구 한강대로71길 37
4호선,숙대입구,민주인권기념관,서울특별시 용산구 한강대로71길 37
6호선,삼각지,민주인권기념관,서울특별시 용산구 한강대로71길 37
5호선,종로3가,박물관은살아있다 인사동점,서울특별시 종로구 인사동길 12
1호선,남영,박종철기념관,서울특별시 용산구 갈월동
6호선,삼각지,박종철기념관,서울특별시 용산구 갈월동
1호선,소요산,박찬호야구공원(2020년2월예정),경기도 동두천시 상봉암동 산6
1호선,창동,반딧불이 유아숲체험장,서울특별시 도봉구 해등로3길 48-11 초안산근린공원관리사무소
1호선,방학,발바닥공원,서울특별시 도봉구 방학동
6호선,대홍,밤섬,서울특별시 영등포구 여의도동 밤섬
